payment_id,booking_id,amount,payment_mode,payment_status,payment_date,transaction_id
1,1280,8557,Cash,paid,2026-02-21 15:15:55,TXN-BAV6P2JGAZ
2,1547,6296,UPI,paid,2026-04-10 15:31:42,TXN-E8M0L354EB
3,1636,3450,UPI,paid,2026-04-30 12:03:26,TXN-GACTBU5T46
4,693,9635,UPI,paid,2025-11-10 01:23:29,TXN-XRT5EBZYVV
5,877,2792,Card,pending,2025-12-15 10:07:55,TXN-KKD6R41VCG
6,89,6907,Cash,paid,2025-07-24 10:59:05,TXN-TGG2ZCQT76
7,368,6654,Cash,paid,2025-09-12 16:32:23,TXN-PWD6HE6YGG
8,1862,13384,Card,paid,2026-06-05 16:47:28,TXN-66252VBI26
9,2000,11417,Card,paid,2026-07-07 20:43:12,TXN-J1LVFW7PJU
10,192,9786,Net Banking,paid,2025-08-08 14:26:00,TXN-JKUY740Y5K
11,263,7316,Card,paid,2025-08-22 20:08:23,TXN-Z9669MNAE3
12,1030,7146,UPI,paid,2026-01-04 11:26:43,TXN-RL7NPK6OJC
13,1103,6223,UPI,overdue,2026-01-18 05:55:50,TXN-KKP3A7S79D
14,541,5600,UPI,paid,2025-10-12 15:37:21,TXN-JQPU1H2F3B
15,562,7609,Cash,paid,2025-10-19 07:12:24,TXN-4YWUPDHF09
16,648,4825,Cash,paid,2025-10-30 01:37:31,TXN-9XF6BPIEJ3
17,798,2804,UPI,paid,2025-11-26 14:42:50,TXN-G2BTD1H8B1
18,1351,4565,Card,paid,2026-03-06 01:57:30,TXN-K9IA0CI1U1
19,244,3781,UPI,paid,2025-08-22 19:01:35,TXN-XRIZXFL9IJ
20,1038,11755,Net Banking,paid,2026-01-06 10:44:58,TXN-C2GZHM8SVP
21,32,11718,UPI,paid,2025-07-10 23:52:06,TXN-OBU3G48D7A
22,718,9429,UPI,paid,2025-11-15 05:24:01,TXN-J35CJIQC08
23,1199,3384,UPI,pending,2026-02-04 02:26:55,TXN-DD5KF85WZ7
24,415,12403,UPI,paid,2025-09-20 20:11:10,TXN-KUXOCBGE25
25,1976,6935,UPI,paid,2026-06-25 18:44:31,TXN-3H5BJCW7R6
26,1159,2650,Cash,paid,2026-02-05 02:17:36,TXN-6QFMU4U61F
27,1310,4120,UPI,paid,2026-02-26 11:33:02,TXN-HM7VAMAJET
28,79,3822,Card,paid,2025-07-20 11:43:02,TXN-MJC773D75U
29,1682,14588,UPI,paid,2026-05-08 17:54:45,TXN-XIXY9H2Y81
30,938,3989,UPI,paid,2025-12-24 06:23:13,TXN-S518HWW5JQ
31,312,6081,Card,pending,2025-09-02 10:20:27,TXN-88C92047LY
